"","continent_level","date","cases","new_cases","deaths","new_deaths","weeks_since_case100","weeks_since_death10","continent","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Africa",2020-02-16,1,1,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"2","Africa",2020-02-23,1,0,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"3","Africa",2020-03-01,4,3,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"4","Africa",2020-03-08,83,79,1,1,0,0,"Africa",1.2e+09,0.1,0.1,0,0
"5","Africa",2020-03-15,317,234,8,7,0,0,"Africa",1.2e+09,0.3,0.2,0,0
"6","Africa",2020-03-22,1423,1106,46,38,1,0,"Africa",1.2e+09,1.2,0.9,0,0
"7","Africa",2020-03-29,4780,3357,151,105,2,1,"Africa",1.2e+09,4,2.8,0.1,0.1
"8","Africa",2020-04-05,9264,4484,442,291,3,2,"Africa",1.2e+09,7.7,3.7,0.4,0.2
"9","Africa",2020-04-12,14484,5220,788,346,4,3,"Africa",1.2e+09,12.1,4.3,0.7,0.3
"10","Africa",2020-04-19,22268,7784,1120,332,5,4,"Africa",1.2e+09,18.6,6.5,0.9,0.3
"11","Africa",2020-04-26,31828,9560,1422,302,6,5,"Africa",1.2e+09,26.5,8,1.2,0.3
"12","Africa",2020-05-03,44297,12469,1796,374,7,6,"Africa",1.2e+09,36.9,10.4,1.5,0.3
"13","Africa",2020-05-10,63086,18789,2290,494,8,7,"Africa",1.2e+09,52.6,15.7,1.9,0.4
"14","Africa",2020-05-17,84587,21501,2758,468,9,8,"Africa",1.2e+09,70.5,17.9,2.3,0.4
"15","Africa",2020-05-24,111605,27195,3354,596,10,9,"Africa",1.2e+09,93,22.7,2.8,0.5
"16","Africa",2020-05-31,146551,34946,4222,868,11,10,"Africa",1.2e+09,122.1,29.1,3.5,0.7
"17","Africa",2020-06-07,189536,42985,5188,966,12,11,"Africa",1.2e+09,157.9,35.8,4.3,0.8
"18","Africa",2020-06-14,241551,52015,6459,1271,13,12,"Africa",1.2e+09,201.3,43.3,5.4,1.1
"19","Africa",2020-06-21,306356,64805,8114,1655,14,13,"Africa",1.2e+09,255.3,54,6.8,1.4
"20","Africa",2020-06-28,382153,75797,9663,1549,15,14,"Africa",1.2e+09,318.5,63.2,8.1,1.3
"21","Africa",2020-07-05,476586,94433,11363,1700,16,15,"Africa",1.2e+09,397.2,78.7,9.5,1.4
"22","Africa",2020-07-12,594933,118347,13241,1878,17,16,"Africa",1.2e+09,495.8,98.6,11,1.6
"23","Africa",2020-07-19,721049,126116,15169,1928,18,17,"Africa",1.2e+09,600.9,105.1,12.6,1.6
"24","Africa",2020-07-26,847065,126017,17765,2596,19,18,"Africa",1.2e+09,705.9,105,14.8,2.2
"25","Africa",2020-08-02,957731,110666,20304,2539,20,19,"Africa",1.2e+09,798.1,92.2,16.9,2.1
"26","Africa",2020-08-09,1048272,90541,23279,2975,21,20,"Africa",1.2e+09,873.6,75.5,19.4,2.5
"27","Africa",2020-08-16,1119254,70982,25633,2354,22,21,"Africa",1.2e+09,932.7,59.2,21.4,2
"28","Africa",2020-08-23,1188019,68765,27785,2152,23,22,"Africa",1.2e+09,990,57.3,23.2,1.8
"29","Africa",2020-08-30,1245415,57396,29586,1801,24,23,"Africa",1.2e+09,1037.8,47.8,24.7,1.5
"30","Africa",2020-09-06,1299644,54229,31303,1718,25,24,"Africa",1.2e+09,1083,45.2,26.1,1.4
"31","Africa",2020-09-13,1353384,53740,32622,1333,26,25,"Africa",1.2e+09,1127.8,44.8,27.2,1.1
"32","Africa",2020-09-20,1407666,54282,33956,1334,27,26,"Africa",1.2e+09,1173.1,45.2,28.3,1.1
"33","Africa",2020-09-27,1460320,52654,35163,1207,28,27,"Africa",1.2e+09,1216.9,43.9,29.3,1
"34","Africa",2020-10-04,1514963,54643,36510,1347,29,28,"Africa",1.2e+09,1262.5,45.5,30.4,1.1
"35","Africa",2020-10-11,1578795,63832,38108,1598,30,29,"Africa",1.2e+09,1315.7,53.2,31.8,1.3
"36","Africa",2020-10-18,1646271,67476,39746,1638,31,30,"Africa",1.2e+09,1371.9,56.2,33.1,1.4
"37","Africa",2020-10-25,1718463,72192,41259,1513,32,31,"Africa",1.2e+09,1432.1,60.2,34.4,1.3
"38","Africa",2020-11-01,1795766,77303,43175,1916,33,32,"Africa",1.2e+09,1496.5,64.4,36,1.6
"39","Africa",2020-11-08,1882858,87092,45360,2185,34,33,"Africa",1.2e+09,1569,72.6,37.8,1.8
"40","Africa",2020-11-15,1976003,93145,47362,2002,35,34,"Africa",1.2e+09,1646.7,77.6,39.5,1.7
"41","Africa",2020-11-22,2070299,94296,49718,2356,36,35,"Africa",1.2e+09,1725.2,78.6,41.4,2
