"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Global",2020-01-22,557,557,17,17,0,0,7.6e+09,0.1,0.1,0,0
"2","Global",2020-01-26,2120,1563,56,39,1,1,7.6e+09,0.3,0.2,0,0
"3","Global",2020-02-02,16787,14667,362,306,2,2,7.6e+09,2.2,1.9,0,0
"4","Global",2020-02-09,40162,23375,906,544,3,3,7.6e+09,5.3,3.1,0.1,0.1
"5","Global",2020-02-16,71238,31076,1770,864,4,4,7.6e+09,9.4,4.1,0.2,0.1
"6","Global",2020-02-23,78990,7752,2470,700,5,5,7.6e+09,10.4,1,0.3,0.1
"7","Global",2020-03-01,88410,9420,2997,527,6,6,7.6e+09,11.6,1.2,0.4,0.1
"8","Global",2020-03-08,109972,21562,3807,810,7,7,7.6e+09,14.5,2.8,0.5,0.1
"9","Global",2020-03-15,168876,58904,6496,2689,8,8,7.6e+09,22.2,7.8,0.9,0.4
"10","Global",2020-03-22,339895,171019,14919,8427,9,9,7.6e+09,44.7,22.5,2,1.1
"11","Global",2020-03-29,726726,386842,35838,20919,10,10,7.6e+09,95.6,50.9,4.7,2.8
"12","Global",2020-04-05,1248515,521789,74091,38253,11,11,7.6e+09,164.3,68.7,9.7,5
"13","Global",2020-04-12,1841169,592654,122922,48831,12,12,7.6e+09,242.3,78,16.2,6.4
"14","Global",2020-04-19,2411941,570772,172419,49497,13,13,7.6e+09,317.4,75.1,22.7,6.5
"15","Global",2020-04-26,2966857,554916,216860,44441,14,14,7.6e+09,390.4,73,28.5,5.8
"16","Global",2020-05-03,3516247,549390,256815,39955,15,15,7.6e+09,462.7,72.3,33.8,5.3
"17","Global",2020-05-10,4102661,586414,294434,37619,16,16,7.6e+09,539.8,77.2,38.7,4.9
"18","Global",2020-05-17,4712791,610130,329094,34660,17,17,7.6e+09,620.1,80.3,43.3,4.6
"19","Global",2020-05-24,5413584,700970,362256,33162,18,18,7.6e+09,712.3,92.2,47.7,4.4
"20","Global",2020-05-31,6176712,763128,391387,30756,19,19,7.6e+09,812.7,100.4,51.5,4
"21","Global",2020-06-07,7023525,846813,423764,32378,20,20,7.6e+09,924.1,111.4,55.8,4.3
"22","Global",2020-06-14,7919112,895587,456522,32758,21,21,7.6e+09,1042,117.8,60.1,4.3
"23","Global",2020-06-21,8933895,1014783,493820,37298,22,22,7.6e+09,1175.5,133.5,65,4.9
"24","Global",2020-06-28,10132513,1198618,527091,33271,23,23,7.6e+09,1333.2,157.7,69.4,4.4
"25","Global",2020-07-05,11466589,1334077,560995,33904,24,24,7.6e+09,1508.8,175.5,73.8,4.5
"26","Global",2020-07-12,12922203,1455614,598161,37166,25,25,7.6e+09,1700.3,191.5,78.7,4.9
"27","Global",2020-07-19,14496370,1574167,638971,40811,26,26,7.6e+09,1907.4,207.1,84.1,5.4
"28","Global",2020-07-26,16248007,1751688,680145,41174,27,27,7.6e+09,2137.9,230.5,89.5,5.4
"29","Global",2020-08-02,18063370,1815363,723008,42879,28,28,7.6e+09,2376.8,238.9,95.1,5.6
"30","Global",2020-08-09,19877833,1814463,767106,44098,29,29,7.6e+09,2615.5,238.7,100.9,5.8
"31","Global",2020-08-16,21708332,1830499,810225,43119,30,30,7.6e+09,2856.4,240.9,106.6,5.7
"32","Global",2020-08-23,23457619,1749287,850586,40800,31,31,7.6e+09,3086.5,230.2,111.9,5.4
"33","Global",2020-08-30,25264332,1807863,890600,40112,32,32,7.6e+09,3324.3,237.9,117.2,5.3
"34","Global",2020-09-06,27166901,1902576,929078,38482,33,33,7.6e+09,3574.6,250.3,122.2,5.1
"35","Global",2020-09-13,29073186,1906285,971055,41991,34,34,7.6e+09,3825.4,250.8,127.8,5.5
"36","Global",2020-09-20,31115518,2042332,1008828,37773,35,35,7.6e+09,4094.1,268.7,132.7,5
"37","Global",2020-09-27,33154765,2039247,1046878,38050,36,36,7.6e+09,4362.5,268.3,137.7,5
"38","Global",2020-10-04,35229803,2075038,1086683,39805,37,37,7.6e+09,4635.5,273,143,5.2
"39","Global",2020-10-11,37569202,2339399,1127028,40346,38,38,7.6e+09,4943.3,307.8,148.3,5.3
"40","Global",2020-10-18,40077743,2508541,1164590,37562,39,39,7.6e+09,5273.4,330.1,153.2,4.9
"41","Global",2020-10-25,43069782,2992039,1205906,41316,40,40,7.6e+09,5667.1,393.7,158.7,5.4
"42","Global",2020-11-01,46572496,3502714,1252779,46873,41,41,7.6e+09,6128,460.9,164.8,6.2
"43","Global",2020-11-08,50501845,3929350,1310158,57379,42,42,7.6e+09,6645,517,172.4,7.5
"44","Global",2020-11-15,54581942,4080097,1373087,62929,43,43,7.6e+09,7181.8,536.9,180.7,8.3
"45","Global",2020-11-22,58748707,4166765,1442824,69737,44,44,7.6e+09,7730.1,548.3,189.8,9.2
"46","Global",2020-11-29,62878012,4129305,1515172,72348,45,45,7.6e+09,8273.4,543.3,199.4,9.5
"47","Global",2020-12-06,67210105,4332093,1592557,77385,46,46,7.6e+09,8843.4,570,209.5,10.2
"48","Global",2020-12-13,72434603,5224498,1670406,77849,47,47,7.6e+09,9530.9,687.4,219.8,10.2
"49","Global",2020-12-20,76996567,4561964,1752546,82140,48,48,7.6e+09,10131.1,600.3,230.6,10.8
"50","Global",2020-12-27,81011266,4014699,1825789,73243,49,49,7.6e+09,10659.4,528.2,240.2,9.6
"51","Global",2021-01-03,85435327,4424061,1905134,79345,50,50,7.6e+09,11241.5,582.1,250.7,10.4
"52","Global",2021-01-10,90591449,5156122,1997796,92662,51,51,7.6e+09,11919.9,678.4,262.9,12.2
"53","Global",2021-01-17,95372500,4781051,2095253,97457,52,52,7.6e+09,12549,629.1,275.7,12.8
"54","Global",2021-01-24,99542046,4169546,2195957,100704,53,53,7.6e+09,13097.6,548.6,288.9,13.3
"55","Global",2021-01-31,103302234,3760188,2296527,100570,54,54,7.6e+09,13592.4,494.8,302.2,13.2
"56","Global",2021-02-07,106532173,3229939,2387143,90616,55,55,7.6e+09,14017.4,425,314.1,11.9
"57","Global",2021-02-14,109284146,2751973,2469761,82618,56,56,7.6e+09,14379.5,362.1,325,10.9
"58","Global",2021-02-21,111826373,2542227,2539343,69582,57,57,7.6e+09,14714,334.5,334.1,9.2
"59","Global",2021-02-28,114561668,2735295,2607029,67686,58,58,7.6e+09,15073.9,359.9,343,8.9
"60","Global",2021-03-07,117319627,2797500,2671692,64663,59,59,7.6e+09,15436.8,368.1,351.5,8.5
"61","Global",2021-03-14,120298654,2979027,2733988,62297,60,60,7.6e+09,15828.8,392,359.7,8.2
"62","Global",2021-03-21,123714300,3415646,2801454,67466,61,61,7.6e+09,16278.2,449.4,368.6,8.9
"63","Global",2021-03-28,127640707,3926407,2873284,71830,62,62,7.6e+09,16794.8,516.6,378.1,9.5
"64","Global",2021-04-04,131791002,4150295,2946314,73030,63,63,7.6e+09,17340.9,546.1,387.7,9.6
"65","Global",2021-04-11,136520709,4729707,3033212,86898,64,64,7.6e+09,17963.3,622.3,399.1,11.4
"66","Global",2021-04-18,141884530,5363821,3119780,86569,65,65,7.6e+09,18669,705.8,410.5,11.4
"67","Global",2021-04-25,147663839,5779309,3212951,93171,66,66,7.6e+09,19429.5,760.4,422.8,12.3
"68","Global",2021-05-02,153358563,5694724,3309013,96062,67,67,7.6e+09,20178.8,749.3,435.4,12.6
"69","Global",2021-05-09,158821494,5462932,3402507,93494,68,68,7.6e+09,20897.6,718.8,447.7,12.3
"70","Global",2021-05-16,163564015,4742521,3490915,88408,69,69,7.6e+09,21521.6,624,459.3,11.6
"71","Global",2021-05-23,167362283,4072297,3577194,86279,70,70,7.6e+09,22021.4,535.8,470.7,11.4
"72","Global",2021-05-30,170839219,3476936,3656202,79008,71,71,7.6e+09,22478.8,457.5,481.1,10.4
"73","Global",2021-06-06,173799790,2960571,3729461,73259,72,72,7.6e+09,22868.4,389.5,490.7,9.6
"74","Global",2021-06-13,176458352,2658562,3805101,75640,73,73,7.6e+09,23218.2,349.8,500.7,10
"75","Global",2021-06-20,178983172,2524820,3867304,62206,74,74,7.6e+09,23550.4,332.2,508.9,8.2
"76","Global",2021-06-27,181588617,2605445,3924070,56766,75,75,7.6e+09,23893.2,342.8,516.3,7.5
"77","Global",2021-07-04,184283342,2694725,3978382,54313,76,76,7.6e+09,24247.8,354.6,523.5,7.1
"78","Global",2021-07-11,187363859,3080517,4034264,55893,77,77,7.6e+09,24653.1,405.3,530.8,7.4
"79","Global",2021-07-18,190944227,3580368,4090742,56478,78,78,7.6e+09,25124.2,471.1,538.3,7.4
"80","Global",2021-07-25,194691687,3747460,4160384,69642,79,79,7.6e+09,25617.3,493.1,547.4,9.2
"81","Global",2021-08-01,198865168,4173481,4224807,64423,80,80,7.6e+09,26166.5,549.1,555.9,8.5
"82","Global",2021-08-08,203285811,4420643,4291259,66463,81,81,7.6e+09,26748.1,581.7,564.6,8.7
"83","Global",2021-08-15,207811790,4525979,4359219,67960,82,82,7.6e+09,27343.7,595.5,573.6,8.9
"84","Global",2021-08-22,212401581,4589791,4429082,69863,83,83,7.6e+09,27947.6,603.9,582.8,9.2
"85","Global",2021-08-29,216994390,4592809,4498545,69463,84,84,7.6e+09,28551.9,604.3,591.9,9.1
"86","Global",2021-09-05,221351625,4357235,4565831,67286,85,85,7.6e+09,29125.2,573.3,600.8,8.9
"87","Global",2021-09-12,225258353,3906728,4628306,62475,86,86,7.6e+09,29639.3,514,609,8.2
"88","Global",2021-09-19,229048810,3790457,4689795,61489,87,87,7.6e+09,30138,498.7,617.1,8.1
"89","Global",2021-09-26,232427994,3379296,4746651,56856,88,88,7.6e+09,30582.6,444.6,624.6,7.5
"90","Global",2021-10-03,235522786,3094792,4800645,53994,89,89,7.6e+09,30989.8,407.2,631.7,7.1
"91","Global",2021-10-10,238494702,2971916,4850333,49688,90,90,7.6e+09,31380.9,391,638.2,6.5
"92","Global",2021-10-17,241348091,2853389,4897849,47516,91,91,7.6e+09,31756.3,375.4,644.5,6.3
"93","Global",2021-10-24,244326312,2978221,4947429,49580,92,92,7.6e+09,32148.2,391.9,651,6.5
"94","Global",2021-10-31,247430200,3103888,4998329,50900,93,93,7.6e+09,32556.6,408.4,657.7,6.7
"95","Global",2021-11-07,250622131,3191931,5047637,49308,94,94,7.6e+09,32976.6,420,664.2,6.5
"96","Global",2021-11-14,254075694,3453563,5098394,50757,95,95,7.6e+09,33431,454.4,670.8,6.7
"97","Global",2021-11-21,257885016,3809322,5149195,50801,96,96,7.6e+09,33932.2,501.2,677.5,6.7
"98","Global",2021-11-28,261860448,3975432,5198606,49416,97,97,7.6e+09,34455.3,523.1,684,6.5
"99","Global",2021-12-05,266226244,4365796,5255339,56733,98,98,7.6e+09,35029.8,574.4,691.5,7.5
"100","Global",2021-12-12,270545724,4319480,5305906,50567,99,99,7.6e+09,35598.1,568.4,698.1,6.7
"101","Global",2021-12-19,275126751,4581027,5354185,48279,100,100,7.6e+09,36200.9,602.8,704.5,6.4
"102","Global",2021-12-26,280710890,5584139,5400311,46126,101,101,7.6e+09,36935.6,734.8,710.6,6.1
"103","Global",2022-01-02,290836034,10125144,5444126,43815,102,102,7.6e+09,38267.9,1332.3,716.3,5.8
"104","Global",2022-01-09,308086252,17250218,5490186,46060,103,103,7.6e+09,40537.7,2269.8,722.4,6.1
"105","Global",2022-01-16,328932176,20845927,5542162,51976,104,104,7.6e+09,43280.5,2742.9,729.2,6.8
"106","Global",2022-01-23,352230261,23298085,5598508,56346,105,105,7.6e+09,46346.1,3065.5,736.6,7.4
"107","Global",2022-01-30,375400025,23169764,5664809,66301,106,106,7.6e+09,49394.7,3048.7,745.4,8.7
"108","Global",2022-02-06,395524833,20126220,5739809,75000,107,107,7.6e+09,52042.7,2648.2,755.2,9.9
"109","Global",2022-02-13,411822760,16297927,5814983,75174,108,108,7.6e+09,54187.2,2144.5,765.1,9.9
"110","Global",2022-02-20,424629101,12806341,5886487,71504,109,109,7.6e+09,55872.3,1685,774.5,9.4
"111","Global",2022-02-27,435644593,11015492,5946480,59993,110,110,7.6e+09,57321.7,1449.4,782.4,7.9
"112","Global",2022-03-06,446478783,10834190,5996792,50313,111,111,7.6e+09,58747.2,1425.6,789.1,6.6
"113","Global",2022-03-13,458227763,11748980,6041457,44665,112,112,7.6e+09,60293.1,1545.9,794.9,5.9
"114","Global",2022-03-20,470618087,12390324,6078242,36853,113,113,7.6e+09,61923.4,1630.3,799.8,4.8
"115","Global",2022-03-27,481676124,11058037,6124848,46606,114,114,7.6e+09,63378.4,1455,805.9,6.1
"116","Global",2022-04-03,491309901,9633777,6152374,27526,115,115,7.6e+09,64646,1267.6,809.5,3.6
"117","Global",2022-04-10,498631701,7321800,6179061,26687,116,116,7.6e+09,65609.4,963.4,813,3.5
"118","Global",2022-04-17,504218372,5586795,6198673,19612,117,117,7.6e+09,66344.5,735.1,815.6,2.6
"119","Global",2022-04-24,509058804,4840432,6218374,19701,118,118,7.6e+09,66981.4,636.9,818.2,2.6
"120","Global",2022-05-01,513081156,4022352,6236553,18180,119,119,7.6e+09,67510.7,529.3,820.6,2.4
