"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"1","Afghanistan",2022-05-01,120,178899,210,7683,1,4595.6,5.4,197.4,0,109,107
"2","Albania",2022-05-01,120,275167,339,3496,0,95610.5,117.8,1214.7,0,109,109
"3","Algeria",2022-05-01,120,265782,15,6875,0,6061,0.3,156.8,0,110,110
"4","Andorra",2022-05-01,120,41349,336,153,0,537000,4363.6,1987,0,110,108
"5","Angola",2022-05-01,120,99287,0,1900,0,3021,0,57.8,0,98,96
"6","Antarctica",2022-05-01,120,11,0,0,0,NA,NA,NA,NA,0,0
"7","Antigua and Barbuda",2022-05-01,120,7626,55,136,1,77816.3,561.2,1387.8,10.2,83,62
"8","Argentina",2022-05-01,120,9083673,22750,128653,309,200984,503.4,2846.6,6.8,110,109
"9","Armenia",2022-05-01,120,422871,46,8622,0,142717.2,15.5,2909.9,0,110,107
"10","Australia",2022-05-01,120,5992359,273048,7244,238,234994.5,10707.8,284.1,9.3,111,109
"11","Austria",2022-05-01,120,4144906,40047,18161,114,460238.3,4446.7,2016.5,12.7,112,110
"12","Azerbaijan",2022-05-01,120,792578,82,9709,2,78171.2,8.1,957.6,0.2,109,107
"13","Bahrain",2022-05-01,120,569091,2819,1476,1,334366,1656.3,867.2,0.6,111,102
"14","Bangladesh",2022-05-01,120,1952716,160,29127,0,11857,1,176.9,0,107,107
"15","Barbados",2022-05-01,120,70449,2838,395,6,245466.9,9888.5,1376.3,20.9,94,65
"16","Belarus",2022-05-01,120,980345,2532,6947,21,103751.2,268,735.2,2.2,108,107
"17","Belgium",2022-05-01,120,4056448,40657,31439,120,349995.5,3507.9,2712.6,10.4,112,110
"18","Belize",2022-05-01,120,57497,78,676,0,144464.8,196,1698.5,0,90,87
"19","Benin",2022-05-01,120,86394,59442,163,0,7126.5,4903.2,13.4,0,103,97
"20","Bhutan",2022-05-01,120,59219,1448,21,1,76708.5,1875.6,27.2,1.3,91,4
"21","Bolivia",2022-05-01,120,905074,628,21923,15,77535.7,53.8,1878.1,1.3,108,108
"22","Bosnia and Herzegovina",2022-05-01,120,377087,388,15765,9,114930.5,118.3,4804.9,2.7,110,108
"23","Botswana",2022-05-01,120,305984,125,2688,0,130095.2,53.1,1142.9,0,95,85
